tag,hidden,D_eff,batch,ema,steps_target,wall_s,best_exact_pct,final_exact_pct,final_token_pct,best_token_pct,smi_net_Wh,cc_gpu_Wh,gross_agree_pct
h256_d9_recipe_b48_s0,256,9,48,True,24000,7331.8,0.0,0.0,83.849,86.663,312.9793,320.5025,99.36
h256_d18_recipe_b48_s0,256,18,48,True,12000,6960.1,0.0,0.0,82.975,86.8566,302.1978,309.382,99.39
h256_d36_recipe_b24_s0,256,36,24,True,12000,7425.8,0.0,0.0,85.2813,86.3568,326.4706,334.2683,99.43
h256_d9_recipe_b48_s1,256,9,48,True,24000,7316.3,0.0,0.0,82.9625,86.7342,318.7712,326.6537,99.49
h256_d18_recipe_b48_s1,256,18,48,True,12000,6965.2,0.0,0.0,83.6141,86.7227,308.2045,315.6812,99.49
h256_d36_recipe_b24_s1,256,36,24,True,12000,7350.0,0.0,0.0,84.7628,86.2517,327.3434,335.2921,99.51
h256_d9_recipe_b48_s2,256,9,48,True,24000,7316.8,0.0,0.0,82.5356,86.923,317.9957,326.2186,99.59
h256_d18_recipe_b48_s2,256,18,48,True,12000,7013.8,0.0,0.0,83.4781,86.8566,307.8069,316.1723,99.75
h256_d36_recipe_b24_s2,256,36,24,True,12000,7426.6,0.0,0.0,83.9881,86.6975,329.3278,338.8427,99.95
h256_d9_recipe_b48_s3,256,9,48,True,24000,7349.5,0.0,0.0,83.5807,86.5089,312.2878,318.173,98.84
h256_d18_recipe_b48_s3,256,18,48,True,12000,6991.5,0.0,0.0,84.3772,86.7185,300.2281,305.7168,98.82
h256_d36_recipe_b24_s3,256,36,24,True,12000,7419.2,0.0,0.0,85.4542,86.4199,318.6992,324.5764,98.83
h256_d9_recipe_b48_s4,256,9,48,True,24000,7293.9,0.0,0.0,82.9249,86.492,309.8496,315.7725,98.87
h256_d18_recipe_b48_s4,256,18,48,True,12000,6943.4,0.0,0.0,83.4603,86.6582,298.1748,303.7476,98.86
h256_d36_recipe_b24_s4,256,36,24,True,12000,7334.1,0.0,0.0,85.0751,86.9551,316.8235,322.7531,98.88
